Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
vans-apparel-and-accessories-classic-super-no-show-socks-3-pack-white,VANS APPAREL AND ACCESSORIES | CLASSIC SUPER NO SHOW SOCKS 3 PACK WHITE,The classic super no show socks are for all your low top shoes like Classic Slip-Ons. These socks are designed to stay hidden under your shoes for an athletic look with either jeans or shorts. Thin walled breathable cotton/nylon blend.,VANS,Uncategorized,ACCESSORIES,"clothes, egnition-sample-data, unisex, vans",True,Size,9.5-13,,Color,white,,,,,VN-10-9.5-13-white,0.0,shopify,deny,manual,19.95,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_25_image1.jpg?v=1778067040,1.0,VANS APPAREL AND ACCESSORIES | CLASSIC SUPER NO SHOW SOCKS 3 PACK WHITE,False,,,,,,lb,,,,,,active
adidas-kids-stan-smith,ADIDAS | KID'S STAN SMITH,"The Stan Smith owned the tennis court in the '70s. Today it runs the streets with the same clean, classic style. These kids' shoes preserve the iconic look of the original, made in leather with punched 3-Stripes, heel and tongue logos and lightweight step-in cushioning.",ADIDAS,Uncategorized,SHOES,"adidas, clothes, egnition-sample-data, kid",True,Size,1,,Color,white,,,,,AD-02-1-white,0.0,shopify,deny,manual,90.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_24_image1.jpg?v=1778067032,1.0,ADIDAS | KID'S STAN SMITH,False,,,,,,lb,,,,,,active
nike-toddler-roshe-one,NIKE | TODDLER ROSHE ONE,"The Nike Roshe One Infant Shoe offers breathable comfort and soft yet durable cushioning with a mesh upper and Phylon midsole that doubles as an outsole. The shoe is intended to be versatile, worn with or without socks, dressed up or down, for walking or just taking it easy.",NIKE,Uncategorized,SHOES,"clothes, egnition-sample-data, kid, nike",True,Size,4,,Color,black,,,,,NK-02-4-black,0.0,shopify,deny,manual,70.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_23_image1.jpg?v=1778067026,1.0,NIKE | TODDLER ROSHE ONE,False,,,,,,lb,,,,,,active
converse-toddler-chuck-taylor-all-star-axel-mid,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,"The Converse Chuck Taylor All Star Axel recasts the iconic original in a refreshed silhouette for a premium look and feel. A no-tie design lets kids slip them on and go, while a rubber outsole delivers reliable traction from the classroom to the playground.",CONVERSE,Uncategorized,SHOES,"clothes, converse, egnition-sample-data, kid",True,Size,5,,Color,black,,,,,C-03-5-black,0.0,shopify,deny,manual,70.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_22_image1.jpg?v=1778067020,1.0,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,False,,,,,,lb,,,,,,active
converse-chuck-taylor-all-star-ii-hi,CONVERSE | CHUCK TAYLOR ALL STAR II HI,"Introducing the Converse Chuck Taylor All Star II Hi sneaker. Retaining the revolutionary silhouette we all rely on, but now made ever better. New features include Lunarlon sockliner adds cushioning and arch support. Micro-suede lining, premium textured shield canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",CONVERSE,Uncategorized,SHOES,"clothes, converse, egnition-sample-data, men, summer",True,Size,4,,Color,black,,,,,C-02-4-black,0.0,shopify,deny,manual,140.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_21_image1.jpg?v=1778067013,1.0,CONVERSE | CHUCK TAYLOR ALL STAR II HI,False,,,,,,lb,,,,,,active
converse-chuck-taylor-all-star-lo,CONVERSE | CHUCK TAYLOR ALL STAR LO,"The Converse Chuck Taylor All Star II Lo sneaker. Retaining the revolutionary silhouette we all rely on, but now made even better. New features include Lunarlon sockliner, adding cushioning and arch support. Micro-suede lining, premium canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",CONVERSE,Uncategorized,SHOES,"clothes, converse, egnition-sample-data, men, summer",True,Size,3,,Color,white,,,,,C-01-3-white,0.0,shopify,deny,manual,100.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_20_image1.jpg?v=1778067006,1.0,CONVERSE | CHUCK TAYLOR ALL STAR LO,False,,,,,,lb,,,,,,active
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth,DR MARTENS | 1460Z DMC 8-EYE BOOT | CHERRY SMOOTH,"Make a statement with these iconic Dr Marten boots. This classic style has stood the test of time thanks to the combination of reinvented styling and the rugged yet urban look. Crafted with high-quality, durable leathers, the 1460OZ DMC 8-Eye Boot Cherry Smooth is made to last and will only get better with time. This lace-up boot features the iconic Dr Martens air-cushioned sole offering good abrasion and slip resistance, and is made with Goodyear welt - the sole and upper are heat-sealed and sewn together.",DR MARTENS,Uncategorized,SHOES,"autumn, clothes, drmartens, egnition-sample-data, spring, women",True,Size,3,,Color,red,,,,,DM-03-3-red,0.0,shopify,deny,manual,249.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_19_image1.jpg?v=1778066997,1.0,DR MARTENS | 1460Z DMC 8-EYE BOOT | CHERRY SMOOTH,False,,,,,,lb,,,,,,active
dr-martens-cavendish-3-eye-shoe-black,DR MARTENS | CAVENDISH 3-EYE SHOE BLACK,"Make a statement with the Dr Marten's Cavendish 3-Eye shoe. Stamped with Docs trademade look, this lace-up shoe is crafted with high-quality, durable smooth leather, and has been made to last. This unique shoe features an air-cushioned sole offering good abrasion and slip resistance, and is made with Goodyear welt - the sole and upper are heat-sealed and sewn together.",DR MARTENS,Uncategorized,SHOES,"autumn, clothes, drmartens, egnition-sample-data, women",True,Size,4,,Color,black,,,,,DM-02-4-black,0.0,shopify,deny,manual,229.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_18_image1.jpg?v=1778066991,1.0,DR MARTENS | CAVENDISH 3-EYE SHOE BLACK,False,,,,,,lb,,,,,,active
dr-martens-1461-dmc-3-eye-shoe-black-smooth,DR MARTENS | 1461 DMC 3-EYE SHOE | BLACK SMOOTH,"Make a statement with the iconic Dr Marten's 1461Z DMC 3-Eye shoe. Stamped with Docs trademade look, this lace-up shoe is crafted with high-quality, durable smooth leather, and has been made to last. This unique shoe features an air-cushioned sole offering good abrasion and slip resistance, and is made with Goodyear welt - the sole and upper are heat-sealed and sewn together.",DR MARTENS,Uncategorized,SHOES,"autumn, clothes, drmartens, egnition-sample-data, spring, women",True,Size,5,,Color,black,,,,,DM-01-5-black,0.0,shopify,deny,manual,229.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_17_image1.jpg?v=1778066984,1.0,DR MARTENS | 1461 DMC 3-EYE SHOE | BLACK SMOOTH,False,,,,,,lb,,,,,,active
nike-crackle-print-tb-tee,NIKE | CRACKLE PRINT TB TEE,"Meet your new favorite tee, the Nike Crackle Print T-Shirt. Bringing its A-game in soft, premium fabric, it features a ribbed crew neck and a woven Nike label on the hem.",NIKE,Uncategorized,T-SHIRTS,"clothes, egnition-sample-data, men, nike, summer",True,Size,s,,Color,blue,,,,,NK-01-s-blue,0.0,shopify,deny,manual,40.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_16_image1.jpg?v=1778066978,1.0,NIKE | CRACKLE PRINT TB TEE,False,,,,,,lb,,,,,,active
timberland-mens-6-inch-premium-boot,TIMBERLAND | MENS 6 INCH PREMIUM BOOT,"Timberland has been refining their craft of producing hard-wearing boots for decades. The 6-Inch Premium Waterproof Boot (or Wheat Boot) is the original men's Timberland boot and was first designed nearly 40 years ago. Continuous improvements to the design and construction, such as the addition of Timberland's exclusive anti-fatigue technology for all day comfort, has cemented these boots as a sturdy and dependable staple in anyone's shoe collection. The premium waterproof leather, seam-sealed construction and rugged lug outsoles provides long-lasting durability and comfort to help you get through any environmental conditions and adventure. An absolute must-have.",TIMBERLAND,Uncategorized,SHOES,"clothes, egnition-sample-data, men, timberland, winter",True,Size,7,,Color,yellow,,,,,TM-01-7-yellow,0.0,shopify,deny,manual,299.95,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_15_image1.jpg?v=1778066972,1.0,TIMBERLAND | MENS 6 INCH PREMIUM BOOT,False,,,,,,lb,,,,,,active
vans-classic-slip-on-perforated-suede,VANS | CLASSIC SLIP-ON (PERFORATED SUEDE),"The Perforated Suede Classic Slip-On features low profile slip-on perforated suede uppers,, padded collars, elastic side accents, and signature rubber waffle outsoles.",VANS,Uncategorized,SHOES,"clothes, egnition-sample-data, men, summer, vans",True,Size,4,,Color,beige,,,,,VN-09-4-beige,0.0,shopify,deny,manual,119.95,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_14_image1.jpg?v=1778066965,1.0,VANS | CLASSIC SLIP-ON (PERFORATED SUEDE),False,,,,,,lb,,,,,,active
vans-old-skool-butterfly-true-white-black,VANS | OLD SKOOL (BUTTERFLY) TRUE WHITE | BLACK,"Vans are a staple in skate culture and street style, and this skate sneaker is no exception. Introduced in 1977, the Vans Old Skool sneaker is a classic in the Vans collection. Full of attitude, the Old Skool is durable and lightweight, and can give the other boys in the collection a run for its money. Constructed from canvas, The Vans Old Skool features contrasting suede panels along the toe and heel, plus the iconic stripe along the side of the shoe, and sits over a chunky midsole.",VANS,Uncategorized,SHOES,"clothes, egnition-sample-data, men, summer, vans",True,Size,4,,Color,white,,,,,VN-08-4-white,0.0,shopify,deny,manual,129.95,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_13_image1.jpg?v=1778066958,1.0,VANS | OLD SKOOL (BUTTERFLY) TRUE WHITE | BLACK,False,,,,,,lb,,,,,,active
vans-sh-8-hi,VANS | SH-8 HI,"Vans are a staple in skate culture and street style, and this skate sneaker is no exception. Introduced in the early 70's, the Vans SK8 Hi was responsible for the reduced number of ankle injuries in the skating scene with the extra padded ankle support, but its popularity has grown across different cultural scenes. The Vans SK8 Hi True White is constructed from a combination of canvas and suede and features the signature side stripe detail and vulcanized waffle sole. Available in a range of colours.",VANS,Uncategorized,SHOES,"autumn, clothes, egnition-sample-data, men, spring, vans",True,Size,4,,Color,black,,,,,VN-07-4-black,0.0,shopify,deny,manual,129.95,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_12_image1.jpg?v=1778066951,1.0,VANS | SH-8 HI,False,,,,,,lb,,,,,,active
vans-era-59-desert-cowboy,VANS | ERA 59 (DESERT COWBOY),"Vans are a staple in skate culture and street style, and the Vans Era 59 is no exception. This classic lace-up skate shoe is focused on ultimate comfort and cool. Constructed from canvas with leather accents which sets it apart from the original Era, it features a soft footbed, double stitched vamp, a padded tongue and lining, as well as Vans' signature waffle sole. ",VANS,Uncategorized,SHOES,"clothes, egnition-sample-data, men, summer, vans",True,Size,9,,Color,light_brown,,,,,VN-06-9-light_brown,0.0,shopify,deny,manual,109.95,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_11_image1.jpg?v=1778066944,1.0,VANS | ERA 59 (DESERT COWBOY),False,,,,,,lb,,,,,,active
adidas-superstar-80s,ADIDAS | SUPERSTAR 80S,"There's a shell toe for every season, and the adidas Originals Superstar 80s shoes have a full grain leather upper with a shiny badge on the tongue that makes these shoes ready for any time of year.",ADIDAS,Uncategorized,SHOES,"adidas, autumn, clothes, egnition-sample-data, men, spring, summer",True,Size,5,,Color,white,,,,,AD-01-5-white,0.0,shopify,deny,manual,170.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_10_image1.jpg?v=1778066937,1.0,ADIDAS | SUPERSTAR 80S,False,,,,,,lb,,,,,,active
supra-mens-vaider,SUPRA | MENS VAIDER,Supra introduces the Vaider. A stylishly designed high top upper on a vulcanized sole that supplies excellent traction and board feel. A padded collar and tongue lining provide superior comfort,SUPRA,Uncategorized,SHOES,"autumn, clothes, egnition-sample-data, men, spring, summer, supra",True,Size,9,,Color,gray,,,,,su-01-9-gray,0.0,shopify,deny,manual,169.95,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_9_image1.jpg?v=1778066931,1.0,SUPRA | MENS VAIDER,False,,,,,,lb,,,,,,active
puma-suede-classic-regal,PUMA | SUEDE CLASSIC REGAL,"First introduced in 1968, the Puma Suede Classic is Puma's most epic sneaker with its athletic inspired design and smooth suede. The Puma Suede Classic Regal Red/White is constructed with a suede upper and contrasting low profile rubber sole, and fat laces, the classic continues to make its mark on the streets today.",PUMA,Uncategorized,SHOES,"clothes, egnition-sample-data, men, puma, summer",True,Size,5,,Color,red,,,,,PM-01-5-red,0.0,shopify,deny,manual,110.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_8_image1.jpg?v=1778066925,1.0,PUMA | SUEDE CLASSIC REGAL,False,,,,,,lb,,,,,,active
asics-tiger-gel-lyte-v-30-years-of-gel-pack,ASICS TIGER | GEL-LYTE V '30 YEARS OF GEL' PACK,"The iconic ASICS Tiger GEL-Lyte III was originally released in 1990. Having over two decades of performance heritage, it offers fine design detailing and a padded split tongue to eliminate tongue movement, built on a sleek silhouette. It comes as no surprise the Gel-Lyte III is a fast growing popular choice for sneaker enthusiasts all over the world.",ASICS TIGER,Uncategorized,SHOES,"asics-tiger, autumn, clothes, egnition-sample-data, men, spring",True,Size,4,,Color,black,,,,,AsTi-01-4-black,0.0,shopify,deny,manual,220.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_7_image1.jpg?v=1778066919,1.0,ASICS TIGER | GEL-LYTE V '30 YEARS OF GEL' PACK,False,,,,,,lb,,,,,,active
palladium-pallatech-hi-tx-chevron,PALLADIUM | PALLATECH HI TX | CHEVRON,"The Palladium iconic classic receives a subtle, yet stylish update. The Pallatech Hi TX features a full grain leather upper with cotton canvas and soft cuff around the collar, providing even more comfort. The boot is finished with a single-unit molded rubber outsole, offering excellent traction while exploring your city. The EVA-cushioned footbed and hugging heel cup cradle the foot for lasting support.",PALLADIUM,Uncategorized,SHOES,"clothes, egnition-sample-data, men, palladium, winter",True,Size,9,,Color,red,,,,,"PAL-01
-9-red",0.0,shopify,deny,manual,159.95,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_6_image1.jpg?v=1778066913,1.0,PALLADIUM | PALLATECH HI TX | CHEVRON,False,,,,,,lb,,,,,,active
vans-sk8-hi-decon-cutout-leaves-white,VANS | SK8-HI DECON (CUTOUT)| LEAVES/WHITE,The Vans Cut Out Sk8-Hi Decon brings a twist to the iconic Vans Sk8-Hi silhouette: a new deconstructed leather high-top upper with a custom die cut design that lets the material shape on its own accord without much structural constriction. It also features signature rubber waffle outsoles.,VANS,Uncategorized,SHOES,"autumn, clothes, egnition-sample-data, men, spring, summer, vans",True,Size,4,,Color,white,,,,,"VN-05
-4-white",0.0,shopify,deny,manual,179.95,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_5_image1.jpg?v=1778066906,1.0,VANS | SK8-HI DECON (CUTOUT)| LEAVES/WHITE,False,,,,,,lb,,,,,,active
vans-era-59-moroccan-geo-dress-blues,"VANS |
ERA 59 MOROCCAN | GEO/DRESS BLUES","Vans are a staple in skate culture and street style, and the Vans Era 59 is no exception. This classic lace-up skate shoe is focused on ultimate comfort and cool. Constructed from canvas with leather accents which sets it apart from the original Era, it features a soft footbed, double stitched vamp, a padded tongue and lining, as well as Vans' signature waffle sole.",VANS,Uncategorized,SHOES,"clothes, egnition-sample-data, men, summer, vans",True,Size,8,,Color,blue,,,,,VN-04-8-blue,0.0,shopify,deny,manual,119.95,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_4_image1.jpg?v=1778066900,1.0,"VANS |
ERA 59 MOROCCAN | GEO/DRESS BLUES",False,,,,,,lb,,,,,,active
vans-authentic-butterfly-true-white-black,VANS | AUTHENTIC (BUTTERFLY) TRUE | WHITE / BLACK,"The forefather of the Vans family, the Vans Authentic was introduced in 1966 and nearly 4 decades later is still going strong, its popularity extending from the original fans - skaters and surfers to all sorts. The Vans Authentic is constructed from canvas and Vans' signature waffle outsole construction.",VANS,Uncategorized,SHOES,"clothes, egnition-sample-data, men, summer, vans",True,Size,4,,Color,white,,,,,VN-03-4-white,0.0,shopify,deny,manual,109.95,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_3_image1.jpg?v=1778066893,1.0,VANS | AUTHENTIC (BUTTERFLY) TRUE | WHITE / BLACK,False,,,,,,lb,,,,,,active
vans-authentic-multi-eyelets-gradient-crimson,VANS | AUTHENTIC | (MULTI EYELETS) | GRADIENT/CRIMSON,"The forefather of the Vans family, the Vans Authentic was introduced in 1966 and nearly 4 decades later is still going strong, its popularity extending from the original fans - skaters and surfers to all sorts. The Vans Authentic is constructed from canvas and Vans' signature waffle outsole construction.",VANS,Uncategorized,SHOES,"clothes, egnition-sample-data, men, summer, vans",True,Size,5,,Color,red,,,,,VN-02-5-red,0.0,shopify,deny,manual,99.95,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_2_image1.jpg?v=1778066887,1.0,VANS | AUTHENTIC | (MULTI EYELETS) | GRADIENT/CRIMSON,False,,,,,,lb,,,,,,active
vans-authentic-lo-pro-burgandy-white,VANS |AUTHENTIC | LO PRO | BURGANDY/WHITE,"The forefather of the Vans family, the original Vans Authentic was introduced in 1966 and nearly 4 decades later is still going strong, its popularity extending from the original fans - skaters and surfers to all sorts. Now remodeled into a low top lace-up with a slim silhouette, the Vans Authentic Lo Pro features sturdy canvas uppers with lower sidewalls, metal eyelets, and low profile mini waffle outsoles for a lightweight feel.",VANS,Uncategorized,SHOES,"clothes, egnition-sample-data, men, sale, summer, vans",True,Size,4,,Color,burgandy,,,,,VN-01-4-burgandy,0.0,shopify,deny,manual,29.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_1_image1.jpg?v=1778066880,1.0,VANS |AUTHENTIC | LO PRO | BURGANDY/WHITE,False,,,,,,lb,,,,,,active
